SA1_CODE21,2025_supply,2026_supply,2027_supply,2028_supply,2029_supply,2030_supply,2031_supply,2032_supply,2033_supply,2034_supply,2035_supply,2036_supply,2037_supply,2038_supply,2039_supply,2040_supply,2041_supply,2042_supply,2043_supply,2044_supply,2045_supply,2025_demand,2026_demand,2027_demand,2028_demand,2029_demand,2030_demand,2031_demand,2032_demand,2033_demand,2034_demand,2035_demand,2036_demand,2037_demand,2038_demand,2039_demand,2040_demand,2041_demand,2042_demand,2043_demand,2044_demand,2045_demand
11703164218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.132,9.718,9.054,8.555,8.365,8.246,8.134,8.075,7.999,7.876,7.765,7.693,7.643000000000001,7.631,7.626,7.641,7.65,7.664999999999999,7.675,7.681,7.680999999999999
11703164219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.511,13.676,13.326999999999998,13.171,12.931,12.735,12.565,12.452000000000002,12.342,12.264,12.185,12.131,12.088,12.07,12.049,12.041,12.018,12.003,11.978000000000002,11.951,11.913
11703164220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.643,9.488,9.024,8.714,8.515,8.354,8.222,8.137,8.054,7.997999999999999,7.94,7.898999999999999,7.866,7.854,7.838,7.835,7.821999999999999,7.814,7.799,7.783,7.759
11703164221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.646,14.411,13.706,13.233999999999998,12.931,12.686,12.488,12.356000000000002,12.233,12.147,12.059,11.996,11.946,11.928,11.904,11.9,11.881,11.867,11.845,11.82,11.783
11703164222,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,26.894,27.221,26.528,26.219,25.74,25.35,25.011000000000003,24.784,24.565,24.411,24.255000000000003,24.147,24.061,24.025,23.982,23.968,23.923,23.892000000000003,23.842,23.788,23.714
11703164223,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,8.876,9.451,9.66,9.952,10.051,10.194,10.188,10.228,10.205,10.065,9.931,9.827,9.755,9.712,9.68,9.669,9.649,9.639,9.621,9.599,9.573
11703164224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.877,9.03,8.853,8.8,8.707,8.654,8.623000000000001,8.614,8.600999999999999,8.645999999999999,8.704,8.793,8.911,9.059,9.217,9.395,9.562,9.741,9.911,10.078,10.236
11703164225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.651,11.717,10.297,9.487,8.765,8.903,9.45,9.956,10.341,10.654,10.837,10.94,10.997,11.03,11.037,11.039,11.017,10.996,10.958,10.917,10.869
11703164226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.898,15.939,15.399,15.133,14.828,14.554,14.352,14.218,14.098,14.026,13.954,13.908,13.879,13.876,13.861,13.867,13.847,13.836,13.813,13.784,13.747
11703164227,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,15.898,15.939,15.399,15.133,14.828,14.554,14.352,14.218,14.098,14.026,13.954,13.908,13.879,13.876,13.861,13.867,13.847,13.836,13.813,13.784,13.747
11703164228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.565,14.929,13.908,13.142,12.849,12.666999999999998,12.496,12.404,12.317,12.37,12.435,12.557,12.712,12.925999999999998,13.154,13.414,13.665,13.927,14.182,14.431,14.665
11703164229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.991999999999997,19.154,19.577,20.167,20.366999999999997,20.654,20.64,20.72,20.669,20.385,20.114,19.9,19.753,19.664,19.598,19.575,19.53,19.511,19.471,19.425,19.37
11703164230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.675,21.345,21.201,21.387,21.183999999999997,21.139,20.934,20.836,20.683,20.477,20.401,20.508000000000003,20.763,21.159,21.643,22.205,22.769,23.368,23.951,24.53,25.082
11703164231,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,17.538,17.607,17.049,16.805,16.483,16.225,16.004,15.858999999999998,15.718,15.623,15.526,15.461,15.41,15.39,15.364,15.355,15.324000000000002,15.305,15.273,15.236,15.186
11703164232,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,20.725,20.874,20.247,19.951,19.553,19.231,18.937,18.739,18.547,18.414,18.28,18.185,18.11,18.079,18.043,18.033,17.997,17.971,17.932,17.887,17.826999999999998
11703164233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.977,15.462,15.358,15.492,15.345,15.313,15.164,15.093,14.93,14.363,13.917000000000002,13.615,13.426000000000002,13.334,13.3,13.316,13.332,13.367,13.392,13.414,13.419
11703164301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.883,41.618,46.179,50.084,52.86,56.164,58.870000000000005,61.383,63.751,66.108,68.402,70.269,71.84,73.37,74.916,76.406,77.859,79.257,80.613,81.925,83.179
11703164302,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,39.498,39.629,39.068,39.51,38.885,38.622,38.193,37.833,37.575,37.369,37.199,37.344,37.853,38.645,39.685,40.89,42.243,43.688,45.151,46.61,48.018
11703164303,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,45.66,45.813,45.121,45.536,44.884,44.473,44.053,43.711,43.498,43.328,43.19,43.126000000000005,43.119,43.156,43.242,43.321,43.41,43.482,43.548,43.581,43.579
11703164304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.522000000000006,57.715,56.896,57.54,56.631,56.247,55.623,55.098,54.723,54.422,54.176,54.209,54.678,55.565,56.81100000000001,58.295,59.989,61.81099999999999,63.656000000000006,65.495,67.257
11703164305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.791,41.192,40.732,41.704,42.28,43.329,44.484,45.82,47.36,49.018,50.686,51.94,52.809,53.431,53.915,54.215,54.364999999999995,54.386,54.332,54.208,54.053
